"length","memory","time"
4,5936,0.00011889999999999123
4,5936,0.00013820000000000499
4,5936,0.00012270000000000336
4,5880,0.00012270000000000336
4,5880,0.00012929999999999886
3,6008,0.00013330000000000286
6,17896,0.0008042999999999939
2,4998,0.00015460000000000473
13,8056,0.0004320000000000018
10,25216,0.0016289000000000026
5,5808,0.00021419999999999773
11,14560,0.0009069000000000021
4,7282,0.0002681000000000072
3,7545,0.00022310000000000385
6,19692,0.001821299999999998
2,6550,0.0003231000000000067
13,10341,0.0014341999999999966
10,26138,0.003714900000000007
5,7691,0.0003756000000000037
11,16796,0.003272200000000003
9,17677,0.0019214999999999927
4,7274,0.0001976999999999951
4,7843,0.0002762000000000042
3,8036,0.00029360000000000497
6,19498,0.0022896000000000027
2,7070,0.0003458999999999962
13,9214,0.0015928999999999943
10,26818,0.0032229999999999898
10,26818,0.0035378000000000076
10,26818,0.0037607000000000057
10,26818,0.0033848999999999962
5,8203,0.0006373000000000073
11,17834,0.004602200000000001
9,16386,0.0017430999999999974
38,1356571,8.5304693
15,111148,0.0343653
15,111148,0.03352690000000001
9,18946,0.0015011999999999942
9,23274,0.002225900000000003
15,111148,0.0380636
15,39138,0.002095700000000006
38,3042368,48.9910639
38,3017679,19.1164981
4,6472,0.00012919999999999598
3,6640,0.00014699999999999436
6,22992,0.0039466000000000084
2,5672,0.00027959999999999097
13,7424,0.0010135000000000005
10,35960,0.0025241000000000013
5,6416,0.0003565999999999986
11,40552,0.0031584000000000056
4,6472,0.00012630000000000974
3,6640,0.00011929999999998886
6,22992,0.0011484999999999967
2,5672,0.00013729999999999298
13,7424,0.0005707999999999963
10,36024,0.00246819999999999
5,6416,0.00026759999999999284
11,24864,0.0013244000000000034
9,17288,0.0008190000000000003
9,21768,0.0013394000000000045
38,990284,0.8430046999999999
102,195125,0.1100529
102,195125,0.1086407
102,195125,0.1083347
38,963012,0.862663
9,21768,0.0012264000000000025
9,17288,0.0008684000000000053
38,963012,0.8446459000000001
38,990284,0.8308083
38,963012,0.7941431999999999
4,6472,0.00015160000000000173
3,6640,0.00014440000000000286
6,22992,0.0010425999999999908
2,5672,0.00014070000000000749
13,7424,0.0005807000000000034
10,36024,0.0027668
5,6416,0.00039440000000001696
11,24864,0.001302600000000001
102,195125,0.10557939999999999
210,7888,0.0006064999999999959
145,125911,0.06390549999999999
146,195709,0.11375880000000001
145,195709,0.10681689999999999
146,131999,0.06933970000000002
